Véhicule,Immatriculation,Conducteur,Excès Vitesse (nb),Freinages Brusques,Accélérations Brusques,Incidents Totaux,Score Conduite,Niveau Risque
SOC-001,DK-2701-OW,Abdou Gueye,3,0,4,7,78.0,🟡 Moyen
SOC-001,DK-2701-OW,Alioune Seck,0,8,4,12,85.0,🟢 Faible
SOC-001,DK-2701-OW,Aminata Sy,0,0,0,0,74.0,🟡 Moyen
SOC-001,DK-2701-OW,Astou Diallo,1,3,2,6,76.0,🟡 Moyen
SOC-001,DK-2701-OW,Aïssatou Ba,3,7,4,14,70.0,🟡 Moyen
SOC-001,DK-2701-OW,Babacar Sow,0,8,3,11,68.0,🔴 Élevé
SOC-001,DK-2701-OW,Cheikh Ndiaye,0,7,0,7,76.0,🟡 Moyen
SOC-001,DK-2701-OW,Fatou Sall,8,16,9,33,76.0,🟡 Moyen
SOC-001,DK-2701-OW,Ibrahima Sarr,2,0,4,6,95.0,🟢 Faible
SOC-001,DK-2701-OW,Khadija Kane,0,8,7,15,72.0,🟡 Moyen
SOC-001,DK-2701-OW,Mamadou Diop,0,7,8,15,78.0,🟡 Moyen
SOC-001,DK-2701-OW,Mariama Wade,2,13,3,18,73.0,🟡 Moyen
SOC-001,DK-2701-OW,Moussa Diouf,6,7,3,16,80.0,🟡 Moyen
SOC-001,DK-2701-OW,Ndèye Mbaye,0,7,7,14,72.0,🟡 Moyen
SOC-001,DK-2701-OW,Ousmane Fall,2,0,7,9,74.0,🟡 Moyen
SOC-002,DK-4406-ZL,Abdou Gueye,3,0,6,9,78.0,🟡 Moyen
SOC-002,DK-4406-ZL,Alioune Seck,5,9,6,20,82.0,🟡 Moyen
SOC-002,DK-4406-ZL,Aminata Sy,9,35,22,66,80.0,🟡 Moyen
SOC-002,DK-4406-ZL,Astou Diallo,1,0,0,1,72.0,🟡 Moyen
SOC-002,DK-4406-ZL,Aïssatou Ba,0,3,6,9,96.0,🟢 Faible
SOC-002,DK-4406-ZL,Babacar Sow,3,0,5,8,77.0,🟡 Moyen
SOC-002,DK-4406-ZL,Cheikh Ndiaye,8,7,11,26,83.0,🟡 Moyen
SOC-002,DK-4406-ZL,Fatou Sall,24,34,11,69,81.0,🟡 Moyen
SOC-002,DK-4406-ZL,Ibrahima Sarr,4,16,13,33,76.0,🟡 Moyen
SOC-002,DK-4406-ZL,Khadija Kane,0,0,0,0,72.0,🟡 Moyen
SOC-002,DK-4406-ZL,Mamadou Diop,2,15,0,17,84.0,🟡 Moyen
SOC-002,DK-4406-ZL,Mariama Wade,9,32,12,53,80.0,🟡 Moyen
SOC-002,DK-4406-ZL,Moussa Diouf,3,3,16,22,86.0,🟢 Faible
SOC-002,DK-4406-ZL,Ndèye Mbaye,0,6,3,9,82.0,🟡 Moyen
SOC-002,DK-4406-ZL,Ousmane Fall,4,9,1,14,75.0,🟡 Moyen
SOC-003,DK-5264-JU,Abdou Gueye,12,14,9,35,85.0,🟢 Faible
SOC-003,DK-5264-JU,Alioune Seck,11,10,11,32,80.0,🟡 Moyen
SOC-003,DK-5264-JU,Aminata Sy,1,12,0,13,69.0,🔴 Élevé
SOC-003,DK-5264-JU,Astou Diallo,3,2,12,17,66.0,🔴 Élevé
SOC-003,DK-5264-JU,Aïssatou Ba,2,5,1,8,82.0,🟡 Moyen
SOC-003,DK-5264-JU,Babacar Sow,5,13,9,27,71.0,🟡 Moyen
SOC-003,DK-5264-JU,Cheikh Ndiaye,7,10,8,25,87.0,🟢 Faible
SOC-003,DK-5264-JU,Fatou Sall,0,10,0,10,71.0,🟡 Moyen
SOC-003,DK-5264-JU,Ibrahima Sarr,0,4,0,4,85.0,🟢 Faible
SOC-003,DK-5264-JU,Khadija Kane,5,0,9,14,91.0,🟢 Faible
SOC-003,DK-5264-JU,Mamadou Diop,7,5,5,17,80.0,🟡 Moyen
SOC-003,DK-5264-JU,Mariama Wade,8,7,0,15,86.0,🟢 Faible
SOC-003,DK-5264-JU,Moussa Diouf,6,29,5,40,77.0,🟡 Moyen
SOC-003,DK-5264-JU,Ndèye Mbaye,5,15,0,20,76.0,🟡 Moyen
SOC-003,DK-5264-JU,Ousmane Fall,0,0,6,6,74.0,🟡 Moyen
SOC-004,DK-7162-IQ,Abdou Gueye,6,7,8,21,88.0,🟢 Faible
SOC-004,DK-7162-IQ,Alioune Seck,9,8,23,40,82.0,🟡 Moyen
SOC-004,DK-7162-IQ,Aminata Sy,0,7,3,10,78.0,🟡 Moyen
SOC-004,DK-7162-IQ,Astou Diallo,5,7,2,14,84.0,🟡 Moyen
SOC-004,DK-7162-IQ,Aïssatou Ba,1,10,6,17,81.0,🟡 Moyen
SOC-004,DK-7162-IQ,Babacar Sow,0,2,25,27,78.0,🟡 Moyen
SOC-004,DK-7162-IQ,Cheikh Ndiaye,9,1,10,20,74.0,🟡 Moyen
SOC-004,DK-7162-IQ,Fatou Sall,3,6,5,14,73.0,🟡 Moyen
SOC-004,DK-7162-IQ,Ibrahima Sarr,0,3,0,3,74.0,🟡 Moyen
SOC-004,DK-7162-IQ,Khadija Kane,4,6,7,17,82.0,🟡 Moyen
SOC-004,DK-7162-IQ,Mamadou Diop,0,0,5,5,87.0,🟢 Faible
SOC-004,DK-7162-IQ,Mariama Wade,5,0,0,5,80.0,🟡 Moyen
