Date,Véhicule,Immatriculation,Type,Modèle,Conducteur,Départ,Arrivée,Zone Départ,Zone Arrivée,Distance (km),Durée Trajet,Durée Arrêts,Nombre Arrêts,Vitesse Moy (km/h),Vitesse Max (km/h),Carburant (L),Conso Moy (L/100km),Temps Ralenti (min),Excès Vitesse (nb),Freinages Brusques,Accélérations Brusques,Score Conduite
2025-12-06,SOC-001,DK-2701-OW,Chariot Élévateur,Renault Master,Khadija Kane,10:48,13:31,Keur Massar,Guédiawaye,124.67,2:43:00,0:00:00,0,45.89,63.96,21.65,17.363692308540905,25,0,0,5,67
2025-12-06,SOC-001,DK-2701-OW,Chariot Élévateur,Renault Master,Ndèye Mbaye,13:39,15:47,Yeumbeul,Port de Dakar,61.01,2:08:00,0:00:00,0,28.6,34.07,10.25,16.797584345047714,9,0,0,4,64
2025-12-06,SOC-001,DK-2701-OW,Chariot Élévateur,Renault Master,Mariama Wade,17:43,18:49,Guédiawaye,Parcelles Assainies,123.74,1:06:00,1:10:00,5,112.49,156.92,22.11,17.865295701922705,30,0,0,3,64
2025-12-06,SOC-002,DK-4406-ZL,Véhicule Léger,Hyster H50,Fatou Sall,09:35,11:39,Plateau (Dakar),Guédiawaye,21.77,2:04:00,0:24:00,2,10.53,14.71,2.48,11.3730997513869,18,0,0,6,97
2025-12-06,SOC-002,DK-4406-ZL,Véhicule Léger,Hyster H50,Aminata Sy,17:21,18:16,Keur Massar,Yeumbeul,82.18,0:55:00,0:25:00,1,89.65,120.04,6.59,8.015983820972867,20,1,0,3,97
2025-12-06,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Fatou Sall,17:35,19:51,Mbao,Grand Yoff,102.35,2:16:00,0:14:00,1,45.15,58.04,8.71,8.511328391787664,27,0,0,5,81
2025-12-06,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Abdou Gueye,10:30,12:18,Parcelles Assainies,Grand Yoff,95.35,1:48:00,0:45:00,3,52.97,65.92,8.32,8.720582772827203,23,0,0,0,67
2025-12-06,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Moussa Diouf,06:21,07:04,Diamniadio,Grand Yoff,63.19,0:43:00,1:00:00,5,88.17,101.74,6.58,10.408747043097547,10,0,3,0,72
2025-12-06,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Babacar Sow,15:29,17:54,Mbao,Parcelles Assainies,121.43,2:25:00,0:29:00,1,50.25,59.98,9.76,8.035674794175588,5,0,8,6,86
2025-12-06,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Cheikh Ndiaye,15:19,16:07,Port de Dakar,Plateau (Dakar),107.36,0:48:00,0:06:00,1,134.2,175.22,11.91,11.089643444157504,30,1,0,0,79
2025-12-06,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Abdou Gueye,09:08,11:09,Plateau (Dakar),Yeumbeul,100.32,2:01:00,0:15:00,1,49.75,55.92,18.37,18.30973572672991,29,5,0,3,91
2025-12-06,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Ibrahima Sarr,14:50,16:17,Sébikotane,Mbao,9.07,1:27:00,0:00:00,0,6.26,7.06,1.41,15.545818384426115,29,4,0,0,70
2025-12-06,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Ousmane Fall,18:50,21:23,Bargny,Grand Yoff,121.1,2:33:00,0:44:00,2,47.49,56.03,20.24,16.710087195241076,22,0,4,1,95
2025-12-06,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Ndèye Mbaye,11:24,12:34,Grand Yoff,Almadies,27.44,1:10:00,0:00:00,0,23.52,26.3,5.34,19.44375043276483,18,0,5,0,99
2025-12-06,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Ousmane Fall,08:00,09:37,Guédiawaye,Grand Yoff,83.46,1:37:00,0:26:00,1,51.62,61.41,21.26,25.47336508711309,20,0,0,0,91
2025-12-06,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Babacar Sow,06:53,07:21,Keur Massar,Port de Dakar,98.09,0:28:00,1:32:00,4,210.19,234.02,32.2,32.830799687398454,9,0,0,0,63
2025-12-06,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Astou Diallo,07:09,07:25,Guédiawaye,Pikine,65.78,0:16:00,1:35:00,5,246.68,310.24,19.85,30.17227892022858,16,0,0,3,74
2025-12-06,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Moussa Diouf,10:48,12:48,Bargny,Pikine,10.55,2:00:00,1:40:00,4,5.28,5.97,1.0,9.471896947418676,12,0,0,0,96
2025-12-06,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Ibrahima Sarr,17:52,19:51,Yeumbeul,Parcelles Assainies,105.6,1:59:00,0:00:00,0,53.24,62.02,11.59,10.97086419176502,24,0,8,0,71
2025-12-06,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Cheikh Ndiaye,11:00,13:41,SOCOCIM Rufisque,Mbao,56.61,2:41:00,1:30:00,5,21.1,29.49,4.72,8.333244556040636,15,3,6,0,93
2025-12-06,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Mamadou Diop,12:10,14:35,Diamniadio,Grand Yoff,33.99,2:25:00,0:18:00,2,14.06,19.51,3.18,9.34345488273311,22,2,0,0,94
2025-12-06,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Fatou Sall,10:02,13:00,Guédiawaye,Thiaroye,99.58,2:58:00,0:00:00,0,33.57,41.55,17.99,18.06516439176551,22,0,0,0,93
2025-12-06,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Mamadou Diop,06:26,07:55,Diamniadio,Bargny,29.69,1:29:00,0:40:00,2,20.02,23.74,5.19,17.49670219308854,10,0,0,0,92
2025-12-06,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Ousmane Fall,15:15,17:22,Pikine,Grand Yoff,31.15,2:07:00,0:00:00,0,14.72,20.48,4.94,15.872692051011972,25,0,6,0,80
2025-12-06,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Ousmane Fall,17:12,18:10,Grand Yoff,Keur Massar,125.04,0:58:00,0:21:00,3,129.35,157.84,19.32,15.453129778100818,5,0,0,0,100
2025-12-06,SOC-013,DK-8777-SQ,Chariot Élévateur,Volvo FH16,Mariama Wade,10:45,13:05,Yeumbeul,Grand Yoff,100.62,2:20:00,0:42:00,2,43.12,59.64,15.79,15.697497859621489,20,0,0,0,64
2025-12-06,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Aminata Sy,17:05,19:52,Plateau (Dakar),Pikine,40.1,2:47:00,0:14:00,2,14.41,18.11,10.38,25.884408562036782,24,0,0,0,90
2025-12-06,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Aïssatou Ba,14:18,16:02,Pikine,Sébikotane,28.75,1:44:00,0:00:00,0,16.59,18.76,9.31,32.3836675964603,16,0,0,0,89
2025-12-06,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Ibrahima Sarr,12:43,13:34,Plateau (Dakar),Sébikotane,126.0,0:51:00,1:12:00,3,148.24,182.65,44.09,34.990469781624185,13,0,3,0,99
2025-12-06,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Astou Diallo,10:27,11:27,Guédiawaye,Yeumbeul,100.22,1:00:00,0:00:00,0,100.22,117.72,34.9,34.82677969497178,6,0,0,5,85
2025-12-07,SOC-002,DK-4406-ZL,Véhicule Léger,Hyster H50,Alioune Seck,16:12,18:41,Almadies,Port de Dakar,104.74,2:29:00,0:00:00,0,42.18,55.7,11.82,11.289856226374198,28,0,0,0,82
2025-12-07,SOC-002,DK-4406-ZL,Véhicule Léger,Hyster H50,Ibrahima Sarr,12:47,13:06,Diamniadio,Pikine,135.63,0:19:00,0:30:00,1,428.31,585.24,11.67,8.603705450003572,29,4,0,0,67
2025-12-07,SOC-002,DK-4406-ZL,Véhicule Léger,Hyster H50,Fatou Sall,12:24,13:52,Thiaroye,Guédiawaye,64.1,1:28:00,1:24:00,3,43.7,48.53,6.06,9.457541583926965,15,0,0,0,68
2025-12-07,SOC-002,DK-4406-ZL,Véhicule Léger,Hyster H50,Fatou Sall,18:01,19:19,Plateau (Dakar),Keur Massar,99.68,1:18:00,0:00:00,0,76.68,97.5,9.46,9.490663134249461,14,0,5,0,68
2025-12-07,SOC-003,DK-5264-JU,Camion Ciment,Mercedes Actros,Astou Diallo,13:19,16:06,Bargny,Almadies,58.69,2:47:00,0:40:00,2,21.09,25.33,14.88,25.358208194402792,19,0,0,2,64
2025-12-07,SOC-003,DK-5264-JU,Camion Ciment,Mercedes Actros,Aminata Sy,12:14,13:54,Yeumbeul,Diamniadio,49.78,1:40:00,0:00:00,0,29.87,41.12,14.22,28.55788479517182,20,1,0,0,69
2025-12-07,SOC-003,DK-5264-JU,Camion Ciment,Mercedes Actros,Astou Diallo,06:09,08:58,Diamniadio,Bargny,69.18,2:49:00,0:15:00,1,24.56,31.7,19.9,28.760254006877226,20,0,0,4,71
2025-12-07,SOC-003,DK-5264-JU,Camion Ciment,Mercedes Actros,Abdou Gueye,18:32,19:20,Almadies,Thiaroye,75.54,0:48:00,0:18:00,2,94.42,123.97,24.28,32.14584648636196,13,1,0,1,100
2025-12-07,SOC-003,DK-5264-JU,Camion Ciment,Mercedes Actros,Alioune Seck,09:55,10:47,Bargny,Parcelles Assainies,30.17,0:52:00,1:55:00,5,34.81,47.11,9.22,30.547091207671677,8,3,6,0,80
2025-12-07,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Aïssatou Ba,08:45,10:09,Mbao,Parcelles Assainies,54.15,1:24:00,0:14:00,2,38.68,48.76,5.22,9.635041720469959,5,0,8,0,98
2025-12-07,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Fatou Sall,15:28,16:41,Pikine,Plateau (Dakar),143.24,1:13:00,0:42:00,3,117.73,145.34,11.81,8.245392496313467,30,4,5,0,91
2025-12-07,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Alioune Seck,06:52,09:50,Port de Dakar,Parcelles Assainies,59.5,2:58:00,0:52:00,4,20.06,25.97,5.64,9.473152772599931,30,0,6,0,88
2025-12-07,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Abdou Gueye,11:28,12:01,Parcelles Assainies,Bargny,41.57,0:33:00,1:32:00,4,75.58,105.26,4.58,11.017433730554115,27,3,0,0,64
2025-12-07,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Mamadou Diop,15:34,16:57,Keur Massar,Mbao,91.49,1:23:00,0:25:00,5,66.14,83.03,17.07,18.6593120956849,28,0,0,0,62
2025-12-07,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Mamadou Diop,17:56,19:38,Almadies,Thiaroye,143.79,1:42:00,1:10:00,5,84.58,102.4,24.39,16.9647167716332,14,0,2,4,99
2025-12-07,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Fatou Sall,14:05,15:42,Parcelles Assainies,Mbao,63.1,1:37:00,0:32:00,2,39.03,47.8,11.71,18.550575082163597,10,0,0,0,94
2025-12-07,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Alioune Seck,06:31,07:34,Yeumbeul,Diamniadio,143.25,1:03:00,1:10:00,5,136.43,172.99,23.85,16.65124948560627,8,0,0,0,91
2025-12-07,SOC-006,DK-2604-SY,Chariot Élévateur,Volvo FH16,Mamadou Diop,16:46,17:38,Yeumbeul,Keur Massar,112.77,0:52:00,0:00:00,0,130.12,154.99,17.7,15.696405135020596,15,1,0,0,100
2025-12-07,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Moussa Diouf,08:34,09:37,Plateau (Dakar),Bargny,32.74,1:03:00,0:52:00,4,31.18,35.5,8.91,27.20257613799744,12,0,0,0,97
2025-12-07,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Abdou Gueye,08:16,10:51,Sébikotane,Pikine,77.72,2:35:00,0:56:00,4,30.09,33.71,26.73,34.39460414397749,15,0,5,0,69
2025-12-07,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Ousmane Fall,06:29,07:28,Diamniadio,Keur Massar,8.48,0:59:00,0:24:00,2,8.62,10.8,2.38,28.03395561016843,18,0,6,0,98
2025-12-07,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Ndèye Mbaye,16:25,18:56,Plateau (Dakar),Thiaroye,23.07,2:31:00,0:24:00,4,9.17,12.77,7.82,33.88166624511867,18,0,0,5,69
2025-12-07,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Ousmane Fall,18:29,20:43,Parcelles Assainies,Plateau (Dakar),67.03,2:14:00,1:00:00,4,30.01,41.1,23.12,34.48696665156213,7,5,0,0,67
2025-12-07,SOC-009,DK-9129-DE,Camion Benne,Mercedes Actros,Aminata Sy,14:36,17:36,Plateau (Dakar),Sébikotane,127.66,3:00:00,0:28:00,1,42.55,56.75,42.57,33.34751329990847,21,0,1,4,62
2025-12-07,SOC-009,DK-9129-DE,Camion Benne,Mercedes Actros,Aminata Sy,06:30,08:18,Plateau (Dakar),Thiaroye,40.18,1:48:00,1:18:00,3,22.32,29.76,12.22,30.415153032945547,14,0,0,0,77
2025-12-07,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Mamadou Diop,09:44,10:54,Bargny,Sébikotane,39.23,1:10:00,0:14:00,2,33.63,39.85,6.41,16.33352753193219,9,0,6,0,60
2025-12-07,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Ndèye Mbaye,14:18,15:28,Thiaroye,Diamniadio,11.5,1:10:00,1:44:00,4,9.86,13.14,1.83,15.951224733358416,24,3,7,0,72
2025-12-07,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Mamadou Diop,06:40,07:25,Guédiawaye,Plateau (Dakar),142.02,0:45:00,0:46:00,2,189.36,218.73,21.34,15.024238519417645,12,0,2,0,73
2025-12-07,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Mamadou Diop,11:33,13:06,Guédiawaye,Grand Yoff,64.52,1:33:00,0:44:00,2,41.63,57.99,12.33,19.10273048171235,26,0,0,1,74
2025-12-07,SOC-011,DK-7433-NO,Véhicule Léger,Volvo FH16,Abdou Gueye,10:38,11:19,Plateau (Dakar),Keur Massar,70.0,0:41:00,0:15:00,3,102.44,123.29,7.56,10.8004116713328,8,0,0,0,96
2025-12-07,SOC-012,DK-3068-NW,Camion Benne,Renault Master,Cheikh Ndiaye,11:15,13:58,Parcelles Assainies,Keur Massar,144.46,2:43:00,0:25:00,1,53.18,60.14,49.24,34.08314442490014,12,0,0,0,60
2025-12-07,SOC-012,DK-3068-NW,Camion Benne,Renault Master,Alioune Seck,10:14,10:42,Guédiawaye,Sébikotane,93.97,0:28:00,2:10:00,5,201.36,226.49,28.27,30.08453320894925,13,0,2,4,72
2025-12-07,SOC-013,DK-8777-SQ,Chariot Élévateur,Volvo FH16,Ousmane Fall,08:46,11:33,Bargny,Pikine,105.23,2:47:00,0:20:00,2,37.81,44.1,16.98,16.132597116881257,30,0,0,0,82
2025-12-07,SOC-013,DK-8777-SQ,Chariot Élévateur,Volvo FH16,Khadija Kane,12:00,14:36,Mbao,Diamniadio,72.4,2:36:00,0:46:00,2,27.85,35.71,13.04,18.012350121211014,19,4,2,0,75
2025-12-07,SOC-013,DK-8777-SQ,Chariot Élévateur,Volvo FH16,Ndèye Mbaye,12:11,14:21,Parcelles Assainies,Keur Massar,26.92,2:10:00,0:15:00,1,12.42,17.15,4.35,16.159627226978284,25,0,3,0,75
2025-12-07,SOC-013,DK-8777-SQ,Chariot Élévateur,Volvo FH16,Ibrahima Sarr,13:19,15:43,Grand Yoff,Pikine,119.53,2:24:00,0:30:00,3,49.8,63.06,23.2,19.41234102767052,12,0,0,0,60
2025-12-07,SOC-014,DK-6710-OT,Camion Benne,Renault Master,Ousmane Fall,15:27,17:29,Keur Massar,Bargny,7.99,2:02:00,0:39:00,3,3.93,5.19,2.42,30.334142908332964,15,0,0,2,90
2025-12-07,SOC-014,DK-6710-OT,Camion Benne,Renault Master,Aminata Sy,09:25,12:12,Thiaroye,Diamniadio,92.28,2:47:00,0:32:00,4,33.15,40.59,24.74,26.81270176968416,26,1,0,0,79
2025-12-07,SOC-014,DK-6710-OT,Camion Benne,Renault Master,Fatou Sall,09:21,09:55,Yeumbeul,Diamniadio,83.87,0:34:00,0:10:00,1,148.01,193.71,28.81,34.34980241887091,22,0,0,0,72
2025-12-07,SOC-014,DK-6710-OT,Camion Benne,Renault Master,Mamadou Diop,14:51,15:11,Mbao,Parcelles Assainies,95.38,0:20:00,0:52:00,2,286.14,375.11,29.33,30.746664401929525,27,0,0,1,68
2025-12-07,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Alioune Seck,06:10,07:09,Grand Yoff,Pikine,47.62,0:59:00,0:57:00,3,48.43,66.7,11.92,25.023001106523875,23,0,0,0,80
2025-12-07,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Babacar Sow,07:51,10:17,Almadies,Parcelles Assainies,70.94,2:26:00,1:03:00,3,29.15,32.98,21.93,30.907700068310824,30,0,0,0,90
2025-12-07,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Cheikh Ndiaye,12:01,13:23,Plateau (Dakar),Grand Yoff,89.42,1:22:00,1:45:00,5,65.43,76.88,24.65,27.562272629046205,19,0,1,0,71
2025-12-07,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Ndèye Mbaye,17:29,18:32,Almadies,Pikine,20.4,1:03:00,1:56:00,4,19.43,21.5,5.51,27.002815813708835,8,0,0,0,66
2025-12-07,SOC-015,DK-3180-MJ,Camion Benne,Hyster H50,Mamadou Diop,13:39,14:32,Parcelles Assainies,Keur Massar,130.13,0:53:00,0:48:00,2,147.32,165.57,44.4,34.121330057934486,29,0,0,0,66
2025-12-08,SOC-001,DK-2701-OW,Chariot Élévateur,Renault Master,Mariama Wade,10:27,13:12,Mbao,Sébikotane,15.19,2:45:00,0:54:00,3,5.52,6.21,2.8,18.457822443107954,25,2,0,0,63
2025-12-08,SOC-001,DK-2701-OW,Chariot Élévateur,Renault Master,Cheikh Ndiaye,07:53,08:10,Port de Dakar,Thiaroye,125.28,0:17:00,0:00:00,0,442.16,520.79,22.92,18.29114310120702,17,0,0,0,75
2025-12-08,SOC-002,DK-4406-ZL,Véhicule Léger,Hyster H50,Babacar Sow,09:03,09:48,Pikine,Plateau (Dakar),99.22,0:45:00,0:14:00,2,132.29,165.82,9.6,9.673117646277994,28,3,0,0,71
2025-12-08,SOC-003,DK-5264-JU,Camion Ciment,Mercedes Actros,Khadija Kane,08:02,09:41,Parcelles Assainies,SOCOCIM Rufisque,57.47,1:39:00,1:00:00,2,34.83,41.05,17.23,29.989118574044266,13,3,0,0,100
2025-12-08,SOC-003,DK-5264-JU,Camion Ciment,Mercedes Actros,Ndèye Mbaye,09:47,12:36,Keur Massar,Thiaroye,89.55,2:49:00,0:00:00,0,31.79,35.95,30.49,34.04773621828292,23,5,7,0,87
2025-12-08,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Fatou Sall,18:03,19:58,Parcelles Assainies,Sébikotane,16.97,1:55:00,0:09:00,1,8.85,10.24,1.98,11.640250199045573,11,0,0,6,91
2025-12-08,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Ibrahima Sarr,11:56,13:11,Bargny,Sébikotane,8.69,1:15:00,0:00:00,0,6.95,9.1,0.84,9.64005089193381,26,3,4,0,98
2025-12-08,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Fatou Sall,07:12,09:50,Thiaroye,Almadies,28.63,2:38:00,0:40:00,5,10.87,13.25,3.0,10.465318454752923,6,3,0,0,70
2025-12-08,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Abdou Gueye,09:31,11:42,Parcelles Assainies,Keur Massar,61.49,2:11:00,1:03:00,3,28.16,33.14,5.39,8.770611992677283,18,0,0,0,81
2025-12-08,SOC-005,DK-6497-PB,Véhicule Léger,Hyster H50,Mamadou Diop,08:58,11:50,Bargny,Thiaroye,14.76,2:52:00,0:42:00,3,5.15,6.27,1.32,8.92123408797644,26,0,0,0,82
2025-12-08,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Ndèye Mbaye,08:45,10:36,Parcelles Assainies,Almadies,117.42,1:51:00,0:23:00,1,63.47,81.02,35.34,30.09595112560719,17,0,0,0,79
2025-12-08,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Astou Diallo,06:01,07:01,Pikine,Plateau (Dakar),144.29,1:00:00,1:12:00,3,144.29,191.81,49.86,34.554273805104216,11,0,0,0,98
2025-12-08,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Mariama Wade,12:56,14:40,Plateau (Dakar),Guédiawaye,38.45,1:44:00,1:30:00,5,22.18,30.72,12.81,33.303749013916274,11,1,0,0,89
2025-12-08,SOC-007,DK-8504-WU,Camion Ciment,Mercedes Actros,Abdou Gueye,12:05,13:11,Pikine,Port de Dakar,12.87,1:06:00,0:26:00,1,11.7,15.85,4.24,32.97526933554762,23,0,3,0,88
2025-12-08,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Alioune Seck,11:56,14:29,Almadies,SOCOCIM Rufisque,85.69,2:33:00,2:05:00,5,33.6,44.94,7.13,8.326474858066707,17,0,3,6,72
2025-12-08,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Ndèye Mbaye,07:01,08:42,Grand Yoff,Mbao,136.27,1:41:00,0:25:00,5,80.95,93.8,14.67,10.763669819522617,12,0,0,0,66
2025-12-08,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Fatou Sall,11:04,12:59,Sébikotane,Bargny,66.62,1:55:00,1:04:00,4,34.76,42.91,6.75,10.128796448802973,29,0,7,6,65
2025-12-08,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Babacar Sow,14:14,14:51,Mbao,SOCOCIM Rufisque,124.07,0:37:00,1:08:00,4,201.19,240.49,13.16,10.605960761829076,10,0,3,0,74
2025-12-08,SOC-008,DK-8462-JA,Véhicule Léger,Renault Master,Mamadou Diop,10:12,12:28,Mbao,Plateau (Dakar),103.22,2:16:00,1:00:00,4,45.54,59.26,9.32,9.031340436880003,13,2,0,0,73
2025-12-08,SOC-009,DK-9129-DE,Camion Benne,Mercedes Actros,Cheikh Ndiaye,10:04,11:47,Guédiawaye,Port de Dakar,5.82,1:43:00,1:18:00,3,3.39,4.32,1.92,33.043405829593716,9,4,0,0,67
2025-12-08,SOC-009,DK-9129-DE,Camion Benne,Mercedes Actros,Fatou Sall,06:29,08:05,Guédiawaye,Sébikotane,16.96,1:36:00,0:54:00,2,10.6,13.7,4.97,29.306918101715286,19,0,0,0,67
2025-12-08,SOC-009,DK-9129-DE,Camion Benne,Mercedes Actros,Fatou Sall,12:40,15:22,Keur Massar,Grand Yoff,133.84,2:42:00,0:05:00,1,49.57,69.03,39.01,29.149737427639664,15,5,8,0,90
2025-12-08,SOC-009,DK-9129-DE,Camion Benne,Mercedes Actros,Cheikh Ndiaye,07:24,08:43,Keur Massar,Mbao,122.58,1:19:00,0:08:00,1,93.1,121.71,32.48,26.49530661273139,24,0,0,1,86
2025-12-08,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Moussa Diouf,12:26,14:53,SOCOCIM Rufisque,Plateau (Dakar),90.87,2:27:00,0:34:00,2,37.09,43.21,14.07,15.47887353322509,23,4,2,0,78
2025-12-08,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Moussa Diouf,08:26,10:19,Guédiawaye,Pikine,117.7,1:53:00,0:24:00,2,62.5,70.91,22.07,18.754854042902682,9,0,0,0,95
2025-12-08,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Fatou Sall,17:12,18:41,SOCOCIM Rufisque,Parcelles Assainies,128.48,1:29:00,0:54:00,3,86.62,102.1,22.67,17.647563766402307,28,0,0,0,65
2025-12-08,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Astou Diallo,14:37,14:54,SOCOCIM Rufisque,Bargny,79.65,0:17:00,1:35:00,5,281.12,337.49,15.8,19.83318366170442,9,0,6,0,87
2025-12-08,SOC-010,DK-3338-CE,Chariot Élévateur,Mercedes Actros,Khadija Kane,16:14,16:32,Plateau (Dakar),Port de Dakar,92.47,0:18:00,0:00:00,0,308.23,397.52,17.15,18.55006411952733,12,0,3,0,94
2025-12-08,SOC-011,DK-7433-NO,Véhicule Léger,Volvo FH16,Aïssatou Ba,11:14,12:13,Grand Yoff,Keur Massar,47.17,0:59:00,0:40:00,2,47.97,52.9,4.51,9.553754136278572,5,3,7,0,85
